Harmonic,Load_pct,SourcePVon_pct,SourcePVoff_pct
1,100,100,100
2,0.05,2.25,1.34
3,0.02,0.29,0.2
4,0.01,0.08,0.23
5,15.35,1.31,0.85
6,0.03,0.15,0.01
7,10.51,2.09,1.29
8,0.02,0.08,0.02
9,0.01,0.03,0.02
10,0.01,0.07,0.08
11,6.75,1.27,0.72
12,0.03,0.06,0.07
13,5.59,1.14,0.69
14,0.02,0.05,0.05
15,0.01,0.03,0.03
16,0.02,0.03,0.05
17,4.26,1.42,0.85
18,0.03,0.04,0.04
19,3.71,0.98,0.54
20,0.02,0.04,0.04
21,0.01,0.04,0.02
22,0.02,0.05,0.07
23,3.04,1.36,0.81
24,0.03,0.03,0.05
25,2.69,0.81,0.49
